ano,mes,estado,casos_Previstos,timestamp
2024,Dezembro,MT,4989,2025-07-24 17:55:54.935938
2024,Fevereiro,MT,3562,2025-07-24 17:55:54.935938
2024,Janeiro,MT,4202,2025-07-24 17:55:54.935938
2024,Julho,MT,7456,2025-07-24 17:55:54.935938
2024,Junho,MT,7859,2025-07-24 17:55:54.935938
2024,Maio,MT,5533,2025-07-24 17:55:54.935938
2024,Marco,MT,1616,2025-07-24 17:55:54.935938
2024,Novembro,MT,4861,2025-07-24 17:55:54.935938
2024,Outubro,MT,5223,2025-07-24 17:55:54.935938
2024,Setembro,MT,7824,2025-07-24 17:55:54.935938
2024,Abril,PA,541,2025-07-24 17:55:54.935938
2024,Agosto,PA,1474,2025-07-24 17:55:54.935938
2024,Dezembro,PA,1539,2025-07-24 17:55:54.935938
2024,Fevereiro,PA,892,2025-07-24 17:55:54.935938
2024,Janeiro,PA,1139,2025-07-24 17:55:54.935938
2024,Julho,PA,3397,2025-07-24 17:55:54.935938
2024,Junho,PA,3806,2025-07-24 17:55:54.935938
2024,Maio,PA,1795,2025-07-24 17:55:54.935938
2024,Marco,PA,438,2025-07-24 17:55:54.935938
2024,Novembro,PA,1451,2025-07-24 17:55:54.935938
2024,Outubro,PA,1651,2025-07-24 17:55:54.935938
2024,Setembro,PA,3797,2025-07-24 17:55:54.935938
2024,Abril,PB,646,2025-07-24 17:55:54.935938
2024,Agosto,PB,1816,2025-07-24 17:55:54.935938
2024,Dezembro,PB,1881,2025-07-24 17:55:54.935938
2024,Fevereiro,PB,1190,2025-07-24 17:55:54.935938
2024,Janeiro,PB,1482,2025-07-24 17:55:54.935938
2024,Julho,PB,4140,2025-07-24 17:55:54.935938
2024,Junho,PB,4554,2025-07-24 17:55:54.935938
2024,Maio,PB,2224,2025-07-24 17:55:54.935938
2024,Marco,PB,542,2025-07-24 17:55:54.935938
2024,Novembro,PB,1792,2025-07-24 17:55:54.935938
2024,Outubro,PB,1992,2025-07-24 17:55:54.935938
2024,Setembro,PB,4546,2025-07-24 17:55:54.935938
2024,Abril,PE,1169,2025-07-24 17:55:54.935938
2024,Agosto,PE,3172,2025-07-24 17:55:54.935938
2024,Dezembro,PE,3283,2025-07-24 17:55:54.935938
2024,Fevereiro,PE,2018,2025-07-24 17:55:54.935938
2024,Janeiro,PE,2496,2025-07-24 17:55:54.935938
2024,Julho,PE,5751,2025-07-24 17:55:54.935938
2024,Junho,PE,6159,2025-07-24 17:55:54.935938
2024,Maio,PE,3822,2025-07-24 17:55:54.935938
2024,Marco,PE,848,2025-07-24 17:55:54.935938
2024,Novembro,PE,3159,2025-07-24 17:55:54.935938
2024,Outubro,PE,3523,2025-07-24 17:55:54.935938
2024,Setembro,PE,6146,2025-07-24 17:55:54.935938
2024,Abril,PI,674,2025-07-24 17:55:54.935938
2024,Agosto,PI,2017,2025-07-24 17:55:54.935938
2024,Dezembro,PI,2083,2025-07-24 17:55:54.935938
2024,Fevereiro,PI,1388,2025-07-24 17:55:54.935938
2024,Janeiro,PI,1681,2025-07-24 17:55:54.935938
2024,Julho,PI,4552,2025-07-24 17:55:54.935938
2024,Junho,PI,4966,2025-07-24 17:55:54.935938
2024,Maio,PI,2626,2025-07-24 17:55:54.935938
2024,Marco,PI,570,2025-07-24 17:55:54.935938
2024,Novembro,PI,1994,2025-07-24 17:55:54.935938
2024,Outubro,PI,2319,2025-07-24 17:55:54.935938
2024,Setembro,PI,4955,2025-07-24 17:55:54.935938
2024,Abril,PR,8222,2025-07-24 17:55:54.935938
2024,Agosto,PR,11349,2025-07-24 17:55:54.935938
2024,Dezembro,PR,11482,2025-07-24 17:55:54.935938
2024,Fevereiro,PR,10033,2025-07-24 17:55:54.935938
2024,Janeiro,PR,10672,2025-07-24 17:55:54.935938
2024,Julho,PR,13967,2025-07-24 17:55:54.935938
2024,Junho,PR,14410,2025-07-24 17:55:54.935938
2024,Maio,PR,12051,2025-07-24 17:55:54.935938
2024,Marco,PR,7437,2025-07-24 17:55:54.935938
2024,Novembro,PR,11322,2025-07-24 17:55:54.935938
2024,Outubro,PR,11732,2025-07-24 17:55:54.935938
2024,Setembro,PR,14394,2025-07-24 17:55:54.935938
2024,Abril,RJ,1668,2025-07-24 17:55:54.935938
2024,Agosto,RJ,4290,2025-07-24 17:55:54.935938
2024,Dezembro,RJ,4403,2025-07-24 17:55:54.935938
2024,Fevereiro,RJ,2969,2025-07-24 17:55:54.935938
2024,Janeiro,RJ,3611,2025-07-24 17:55:54.935938
2024,Julho,RJ,6875,2025-07-24 17:55:54.935938
2024,Junho,RJ,7283,2025-07-24 17:55:54.935938
2024,Maio,RJ,4948,2025-07-24 17:55:54.935938
2024,Marco,RJ,1299,2025-07-24 17:55:54.935938
2024,Novembro,RJ,4270,2025-07-24 17:55:54.935938
2024,Outubro,RJ,4636,2025-07-24 17:55:54.935938
2024,Setembro,RJ,7256,2025-07-24 17:55:54.935938
2024,Abril,RN,695,2025-07-24 17:55:54.935938
